n;Validation Engine;serialNumber;val start;oph@start;starts@start;Asset ID
0;POLYNT - 2 (1145166-T241) --> Sept;1145166;12.10.2020;31291;378;103791
1;REGENSBURG;1175579;14.09.2020;30402;1351;106622
2;ROCHE PENZBERG KWKK;1184199;27.04.2020;25208;749;108532
3;ECOGEN ENERGY SYSTEMS BVBA;1198719;15.10.2020;28583;711;110311
4;BMW REGENSBURG M3;1243360;17.08.2020;63893;2016;157181
5;REGENSBURG;1243362;07.09.2020;62765;;157701
6;ABINSK;1250575;15.06.2020;758;;156120
7;PROSPERITY WEAVING MILLS LTD - 1 (1351388-X243);1250578;12.10.2020;0;352;158705
8;SOTERNIX RENOVE;1310773;25.09.2020;18439;1218;109063
9;BMW MÜNCHEN;1319133;31.08.2020;4532;581;126399


