n;Validation Engine;serialNumber;val start;oph@start;starts@start;Asset ID
0;POLYNT - 2 (1145166-T241) --> Sept;1145166;12.10.20;31291;378;103791
1;REGENSBURG;1175579;14.09.20;30402;1351;106622
2;ROCHE PENZBERG KWKK;1184199;27.04.20;25208;749;108532
3;ECOGEN ENERGY SYSTEMS BVBA;1198719;15.10.20;28583;711;110311
4;BMW REGENSBURG M3;1243360;17.08.20;63893;2016;157181
5;REGENSBURG;1243362;07.09.20;62765;;157701
6;ABINSK;1250575;15.06.20;758;;156120
7;PROSPERITY WEAVING MILLS LTD - 1 (1351388-X243);1250578;12.10.20;0;352;158705
8;SOTERNIX RENOVE;1310773;25.09.20;18439;1218;109063
9;BMW MÜNCHEN;1319133;31.08.20;4532;581;126399
10;BMW MÜNCHEN;1319138;20.07.20;4292;557;126449
11;BMW MÜNCHEN;1319151;06.07.20;4108;726;126448
12;BMW MÜNCHEN;1319157;17.08.20;4416;579;126402
13;BMW MÜNCHEN;1319997;24.08.20;4992;1379;117598
14;BMW MÜNCHEN;1320022;08.06.20;3985;864;117551
15;BMW MÜNCHEN;1320030;03.08.20;5478;1042;117550
16;BMW LANDSHUT 4.10;1320072;07.02.20;6316;768;117617
17;BMW LANDSHUT M1;1320090;12.10.20;8076;1224;117510
18;BMW LANDSHUT 4.10;1320114;24.02.20;6494;602;117547
19;LES COURONNERIES;1325927;09.09.20;9804;255;113808
20;DALOMA;1339812;02.11.20;5248;111;116255
21;GAZ DE LACQ;1345851;22.10.20;7252;119;117227
22;BMW DINGOLFING 2.4;1352268;04.05.20;5756;444;118223
23;BMW DINGOLFING 2.4;1352323;22.06.20;6262;534;126032
24;FRONERI - FERENTINO;1361965;18.11.20;7229;305;126008
25;TOM VILLE;1364066;25.09.20;0;14;123220
26;ABINSK;1386147;11.12.20;8920;145;123269
27;ABINSK;1386177;02.03.20;1845;55;130891
28;ABINSK;1386260;13.07.20;6240;192;130893
29;BLESSED TEXTILE;1393153;23.03.20;7315;243;129039
30;Salmmeir 1;1415409;21.10.20;6871;1011;133716
31;Salmmeir 2;1415410;02.10.20;6580;674;133858
